index,middle
526,788
525,791
528,791
527,791
526,788
526,790
526,791
527,790
526,790
526,788
524,785
516,776
498,761
483,748
462,734
446,717
424,700
407,690
398,683
396,678
394,678
394,677
393,677
395,677
394,676
395,676
395,676
396,676
397,675
397,676
398,675
398,676
398,676
398,677
398,676
398,677
400,676
399,676
399,675
401,677
401,677
401,677
402,678
402,678
403,678
403,679
402,678
405,679
405,679
405,678
405,679
405,679
405,678
405,678
406,679
406,679
406,679
407,679
405,678
407,679
407,679
407,679
407,680
408,679
407,679
408,680
407,679
408,679
408,680
409,679
408,679
408,679
408,679
409,680
409,680
408,680
409,681
409,680
411,682
411,682
409,683
409,682
409,682
411,681
410,682
409,682
410,682
411,682
410,682
411,681
409,682
410,682
411,682
414,683
429,703
448,730
470,751
493,767
509,779
524,791
534,802
544,805
549,806
548,805
552,804
547,804
545,804
543,802
544,801
543,801
541,800
538,800
538,800
537,800
534,798
535,799
533,798
534,798
531,798
532,797
532,796
531,797
532,796
532,796
531,797
532,797
531,796
534,796
533,797
533,797
530,796
530,796
531,796
531,794
530,796
530,795
528,796
530,795
530,795
530,795
529,794
529,795
527,795
526,794
530,795
527,794
529,795
529,794
529,796
528,793
528,793
526,794
528,794
528,795
528,794
527,793
