index,middle
347,780
348,778
348,779
348,778
348,778
348,778
349,778
349,778
347,779
350,780
351,780
353,779
353,778
353,778
361,772
376,743
394,700
396,677
389,666
390,661
391,660
390,660
387,660
388,661
388,661
389,662
389,661
389,662
391,663
391,664
392,664
392,665
392,665
391,666
392,665
391,666
392,666
392,667
391,666
392,667
391,667
392,667
392,668
393,668
394,668
392,668
393,667
393,667
393,668
392,668
393,668
392,668
393,667
393,667
392,668
391,669
391,669
391,668
392,668
391,668
391,668
392,669
389,669
391,669
390,669
391,669
390,669
391,669
391,669
392,669
389,669
389,669
390,669
390,670
390,669
390,669
390,669
390,669
390,670
389,671
390,672
385,687
380,699
375,731
374,752
378,766
364,776
355,780
355,783
356,785
356,785
353,786
353,784
351,784
350,783
350,781
351,781
350,780
351,781
349,780
351,779
350,778
352,779
352,778
352,779
352,779
353,778
353,777
354,778
354,777
353,779
354,778
353,778
351,777
353,778
354,778
354,777
355,777
354,777
356,777
355,776
357,777
357,777
355,776
356,777
356,776
356,776
356,777
357,776
357,775
357,775
355,776
356,776
356,775
357,776
356,775
356,775
357,775
356,775
357,775
356,775
356,775
356,775
357,775
357,775
357,774
356,775
356,774
357,773
355,773
357,774
357,773
357,774
356,774
357,774
357,773
