index,middle
508,640
507,640
509,640
509,640
508,640
508,641
508,639
491,644
471,647
441,648
419,647
403,648
393,649
383,648
376,648
374,647
372,646
370,647
374,647
375,648
376,649
376,649
378,649
379,649
379,650
379,648
380,650
382,650
383,651
383,652
383,650
385,652
386,652
385,652
386,652
386,652
388,652
389,652
390,653
388,652
389,652
390,652
390,653
391,652
390,653
389,652
390,652
390,652
391,652
391,652
392,653
391,652
390,653
391,652
390,652
391,651
392,652
392,652
392,652
393,652
393,652
392,652
393,652
392,652
392,651
393,651
393,652
395,651
394,652
394,651
394,651
392,652
394,652
393,651
394,652
394,651
394,651
405,651
413,651
422,651
433,651
450,651
465,652
479,650
501,651
520,651
530,651
532,650
532,651
527,650
525,649
525,650
523,649
523,650
521,649
519,649
520,649
520,647
520,649
518,648
519,648
519,649
516,649
518,648
517,648
517,648
516,649
516,648
514,648
514,647
513,647
515,647
515,648
513,647
515,648
515,648
515,647
515,648
513,648
514,647
513,648
514,647
512,648
512,647
511,648
514,648
509,648
511,646
510,647
511,647
512,647
511,647
510,647
511,647
509,647
511,647
510,646
510,646
510,646
511,646
510,647
510,646
509,646
509,646
509,646
509,646
509,646
507,646
508,647
509,647
509,646
509,646
510,646
509,646
507,646
507,646
