index,middle
423,696
422,695
422,695
422,695
422,694
422,695
423,695
422,694
422,695
422,695
421,695
422,695
423,696
423,695
422,695
421,694
419,693
423,694
423,695
420,695
422,695
422,695
422,695
422,695
422,695
421,696
423,694
422,695
422,695
422,695
421,695
423,695
421,696
423,695
422,695
422,695
422,695
422,696
422,695
422,695
423,695
422,694
420,695
423,694
422,694
421,695
421,695
423,695
423,695
423,696
422,694
422,695
423,695
421,695
421,694
422,695
422,695
421,695
422,695
423,694
422,695
422,695
422,695
422,695
423,695
422,695
422,695
421,695
422,695
421,695
422,694
420,694
422,695
422,694
421,694
423,694
422,695
422,695
421,694
423,695
423,693
422,695
422,694
420,695
422,695
423,695
421,696
422,695
423,694
420,695
422,695
423,695
421,695
423,695
423,695
420,695
421,695
422,694
421,695
421,695
423,692
422,695
421,695
422,696
420,695
423,695
420,695
422,695
421,694
421,695
420,695
422,695
422,695
421,695
422,695
422,694
422,694
421,695
422,695
420,694
421,695
422,695
423,695
422,695
421,695
422,695
422,694
422,694
420,695
422,694
421,695
422,695
421,694
423,695
422,694
421,695
423,695
422,695
422,694
422,694
421,695
422,694
422,695
421,695
422,695
421,695
421,695
420,695
421,694
421,695
422,696
422,695
421,695
422,695
421,696
422,695
