index,middle
386,679
387,680
388,680
387,680
388,680
386,680
385,680
388,678
387,679
375,676
372,672
371,671
372,670
370,669
374,669
377,668
373,669
372,668
371,667
373,667
371,666
374,667
374,670
375,670
374,669
374,671
372,671
373,671
373,671
373,671
373,670
373,670
374,671
374,671
374,670
373,671
373,671
375,670
373,672
374,671
373,671
374,671
374,671
373,671
373,672
374,671
373,671
374,672
373,672
374,671
373,671
373,671
373,671
374,671
373,672
373,672
374,671
373,671
374,670
374,672
373,673
373,671
374,672
373,672
373,671
372,672
374,671
373,671
373,672
374,672
374,672
373,672
373,671
372,671
374,671
373,672
373,671
373,671
374,672
374,672
373,672
374,672
374,672
374,671
373,671
373,672
373,672
373,671
373,671
377,671
377,671
379,672
380,671
381,672
380,672
381,672
382,673
381,674
382,674
383,674
382,674
383,675
383,675
383,675
383,675
383,675
382,675
383,674
383,675
383,676
382,675
382,675
383,675
383,675
383,674
382,675
383,675
383,675
383,675
383,675
383,675
382,675
383,675
383,675
383,675
381,675
383,675
383,675
383,676
383,674
383,675
383,675
383,674
383,674
383,675
383,675
383,675
383,674
382,675
383,676
383,675
382,675
383,675
381,675
383,676
383,675
383,675
383,676
383,675
383,675
383,675
383,675
383,675
382,676
384,675
383,675
383,675
383,676
384,675
383,675
384,675
384,676
383,676
383,675
383,676
385,676
383,675
384,676
383,675
384,676
383,676
383,676
386,677
385,677
384,677
383,676
383,677
385,676
383,676
385,677
384,676
384,677
384,676
385,676
384,676
384,676
383,677
384,676
385,676
384,676
385,676
384,676
384,676
384,676
384,675
383,676
383,676
384,675
384,676
385,676
385,676
385,676
385,676
385,677
386,676
384,676
384,676
384,676
385,675
384,675
385,676
385,676
385,676
385,676
384,676
384,676
386,676
384,676
385,676
385,677
386,677
387,676
386,676
386,677
386,676
386,676
386,676
385,675
385,676
385,677
386,676
385,675
386,677
386,676
386,676
387,676
386,676
387,676
387,676
387,676
386,676
386,676
387,676
386,677
387,676
387,676
386,677
387,675
385,676
385,676
386,676
386,676
386,675
385,676
386,676
385,676
386,676
386,677
385,676
386,676
385,676
386,676
384,676
385,676
386,676
385,676
386,676
386,677
386,676
384,676
385,676
386,676
386,676
386,676
386,676
386,676
386,677
386,676
386,675
386,676
386,677
386,676
386,677
386,676
385,676
386,676
386,676
387,676
386,676
386,676
386,676
385,676
386,676
385,676
386,675
386,675
386,676
386,676
386,676
386,676
385,675
386,677
387,676
386,676
387,676
387,675
386,677
386,677
386,676
387,677
385,676
386,677
386,677
386,677
386,676
387,676
387,677
387,677
387,677
386,675
388,676
388,677
389,678
390,677
389,677
390,677
389,678
389,678
388,676
389,677
389,677
388,677
389,676
388,677
389,677
389,677
388,677
389,677
389,677
389,677
388,677
389,677
389,677
389,678
388,677
389,676
388,678
389,677
388,677
388,677
388,678
389,679
390,679
393,679
393,679
393,679
393,679
393,678
395,678
393,677
394,676
393,676
394,676
395,676
395,676
395,676
395,675
393,676
394,676
394,676
393,677
394,681
393,675
394,675
393,677
394,676
393,676
394,677
396,677
395,677
395,677
395,677
395,676
395,678
394,677
395,678
395,678
395,678
395,678
395,677
395,678
395,678
394,678
395,678
394,679
395,679
395,679
395,677
395,678
395,679
394,678
395,679
395,679
395,679
394,679
394,679
394,678
394,677
394,678
393,677
391,677
391,677
390,676
392,677
392,677
393,677
391,676
392,677
393,677
392,676
393,677
392,676
393,677
392,676
392,676
393,677
393,677
392,677
393,677
390,676
390,676
389,676
389,676
389,676
389,676
389,676
389,677
389,676
389,676
389,676
390,676
389,676
389,676
391,675
390,676
391,676
390,676
390,676
390,676
391,676
389,676
390,676
390,676
389,676
390,676
390,675
389,676
390,675
390,675
389,675
390,675
389,675
390,676
389,676
390,676
391,675
391,675
390,675
390,675
390,676
390,676
389,676
389,676
390,676
390,676
390,675
389,676
390,674
390,676
390,676
390,675
389,675
389,675
389,675
388,674
388,673
388,674
389,673
387,672
390,672
390,672
392,672
396,672
392,672
391,672
389,671
389,675
389,675
390,783
391,686
395,1023
398,689
405,694
409,697
407,697
408,699
410,704
411,703
415,705
417,1023
419,1023
416,710
415,741
413,1023
413,704
410,704
402,1002
400,697
398,1023
398,1023
398,1023
397,1023
398,1023
401,1023
395,1023
394,1023
395,694
392,692
395,693
396,693
397,693
396,693
395,693
397,694
398,693
398,693
400,694
401,695
402,694
401,693
400,694
399,694
393,693
385,694
385,714
412,741
443,764
469,780
481,789
501,797
519,803
539,809
548,812
555,815
558,816
558,816
564,817
563,817
564,1023
562,818
563,817
563,817
562,817
560,817
559,816
543,815
541,815
539,814
538,813
537,812
536,812
534,812
536,811
534,810
534,810
534,811
532,810
532,808
532,808
532,808
531,808
530,807
531,808
530,808
528,807
530,807
529,808
528,808
530,807
528,809
530,813
531,1023
546,1023
549,817
550,822
547,814
547,814
545,816
548,816
549,809
547,814
549,809
551,808
552,813
532,1014
545,1021
548,1023
536,1023
527,805
527,805
527,804
525,804
528,804
526,803
526,803
