index,middle
400,749
398,749
399,750
400,750
398,749
399,748
400,749
400,749
399,749
400,748
400,748
402,749
404,749
404,749
404,746
405,743
404,736
400,726
392,712
387,702
375,691
368,686
363,683
362,682
362,682
361,683
361,683
362,682
361,683
361,683
359,682
357,682
357,682
357,682
356,683
357,683
355,683
358,683
358,683
358,683
359,682
359,683
360,684
360,684
359,684
360,684
360,684
360,684
360,685
359,685
361,685
360,686
359,686
360,685
361,686
360,685
360,686
361,686
360,685
360,686
360,687
361,687
361,687
360,688
359,688
359,688
360,688
358,688
361,688
360,689
359,689
359,689
360,689
360,689
361,690
360,691
359,690
360,690
359,690
359,690
358,691
360,690
360,690
360,690
361,690
365,700
376,711
377,720
385,726
390,732
396,738
399,744
406,749
410,753
414,755
416,757
420,760
423,761
424,760
426,762
426,761
424,761
422,760
423,760
421,759
419,759
417,759
417,758
416,758
415,758
414,758
411,758
413,757
412,757
413,757
411,756
410,755
411,754
411,755
411,755
410,754
409,755
411,754
410,754
409,754
408,754
409,753
409,754
409,754
408,753
408,754
408,753
408,753
408,753
407,753
407,753
408,753
407,753
407,752
406,753
406,753
405,753
405,752
407,752
406,752
405,752
405,752
405,752
406,752
405,751
406,751
406,751
404,751
405,751
405,751
405,751
