index,middle
390,668
391,669
397,670
398,670
397,669
394,668
390,669
391,667
390,669
392,668
394,669
394,671
390,675
1021,681
384,684
382,688
371,693
1023,696
1021,697
1023,698
1023,697
1023,696
1023,696
353,695
353,694
352,695
353,696
354,695
359,709
364,718
365,719
363,721
362,718
364,711
362,700
359,693
358,690
359,690
359,690
358,690
359,689
361,689
358,686
357,682
357,683
368,693
386,704
395,708
399,710
406,714
404,713
400,709
399,712
398,710
396,710
395,708
396,706
397,704
401,702
405,700
405,719
407,696
406,698
406,697
406,703
407,700
405,712
405,703
406,700
406,697
406,696
407,696
405,697
407,698
406,698
405,696
406,696
407,696
405,697
407,700
406,696
406,696
931,697
1023,696
1023,696
445,696
1023,696
460,696
462,696
411,710
415,698
411,705
410,696
413,695
408,694
408,695
407,695
407,696
407,695
407,694
407,694
411,693
413,693
580,693
597,693
505,693
409,693
410,693
409,693
408,692
409,692
408,691
409,693
408,693
409,692
408,693
408,693
408,692
409,692
408,690
408,692
408,693
408,692
408,693
408,693
408,692
408,693
408,692
408,693
407,692
409,693
408,692
407,692
407,692
408,692
407,692
407,692
407,692
407,692
407,692
408,692
407,692
407,692
407,692
407,693
407,692
407,692
406,691
406,692
407,692
408,692
407,693
404,692
406,692
406,692
406,692
407,692
406,691
405,692
407,692
407,692
405,691
407,690
406,692
406,691
407,692
406,691
406,692
407,691
407,691
406,691
406,691
406,691
406,691
407,691
405,691
406,691
405,691
405,691
406,691
406,690
406,691
406,691
405,691
405,691
405,691
405,691
406,692
406,691
406,691
405,691
406,691
405,691
405,691
405,691
405,691
404,690
406,691
406,690
406,691
405,691
406,691
405,692
405,693
405,692
406,691
406,692
405,693
406,693
406,691
406,692
405,692
405,691
406,691
406,693
406,691
406,692
406,691
406,716
405,690
405,692
405,692
406,697
406,694
406,692
406,698
405,698
404,707
406,692
406,696
405,704
405,692
405,694
406,698
405,698
406,693
406,692
406,692
406,1023
406,1023
407,692
407,696
406,692
407,1023
406,696
408,695
407,692
407,693
408,691
408,692
412,691
412,693
410,691
408,691
409,691
408,691
408,692
1020,731
1006,691
1020,690
402,1023
1023,690
1023,1023
408,1023
398,693
396,688
395,688
394,689
394,690
394,691
394,690
396,690
396,691
396,689
396,690
395,690
395,690
397,690
396,690
396,690
396,689
395,690
397,688
396,689
396,689
397,689
397,688
397,688
398,689
396,689
397,689
393,688
388,689
388,691
388,693
391,695
392,697
391,698
390,700
389,699
391,700
389,700
390,699
390,698
390,698
391,698
394,699
395,700
396,699
395,698
395,699
396,698
396,697
396,697
396,697
395,697
396,696
395,696
396,696
395,696
395,696
396,695
396,696
397,695
396,695
398,696
397,695
397,696
398,695
397,696
398,696
397,696
397,695
396,695
397,695
397,695
396,694
396,692
397,695
397,695
397,694
396,694
396,694
396,695
397,695
396,694
396,694
396,693
396,695
397,694
394,694
397,694
395,695
397,695
396,694
395,695
396,695
397,694
396,694
397,694
396,694
394,694
397,694
397,694
396,694
396,694
396,694
395,693
395,693
396,693
396,694
396,693
397,694
396,693
396,693
395,694
397,693
395,693
396,693
395,694
396,693
395,692
396,693
394,694
395,693
395,693
395,693
395,693
394,693
394,692
395,694
395,693
396,692
394,691
393,691
394,689
392,688
393,687
392,687
394,694
394,690
394,688
394,687
394,687
394,692
393,689
394,690
394,690
393,689
394,689
393,696
394,688
395,687
394,687
394,686
394,687
392,687
394,686
395,686
395,686
395,686
394,687
394,688
394,687
394,687
394,687
394,687
394,686
394,686
394,687
395,686
393,685
395,687
394,687
395,687
395,688
395,688
394,686
394,688
395,687
395,687
395,686
394,687
395,687
394,687
394,686
393,687
395,687
395,687
395,687
396,687
394,687
394,1023
394,1023
395,1023
395,684
393,685
393,685
392,683
391,680
395,678
388,676
386,675
385,672
383,673
385,672
388,671
404,672
400,672
397,671
396,671
404,672
418,673
422,673
414,672
411,672
409,672
414,673
405,673
396,676
388,675
391,677
389,677
389,677
388,677
390,676
390,677
390,676
390,678
390,679
391,677
390,678
395,680
400,1023
401,686
399,1023
404,688
410,1021
412,1023
411,1023
412,1023
414,1023
415,1023
414,1023
414,1023
414,701
414,700
410,695
408,693
408,690
407,691
407,693
407,694
407,693
408,695
405,697
407,693
406,692
407,692
405,694
406,692
407,691
405,690
405,690
404,689
405,1023
406,1023
407,1023
409,1023
409,1023
410,1023
411,1023
411,1023
411,1023
410,1023
411,1022
410,1023
409,1023
409,1023
408,1023
409,1023
409,1023
409,1023
409,1023
409,1023
409,1023
407,1022
407,697
406,690
405,689
401,690
395,693
391,1023
394,1022
400,703
398,705
398,706
397,1023
398,1023
398,704
397,703
398,703
398,1023
399,803
400,707
402,1023
402,698
401,694
400,692
401,691
401,691
402,690
401,690
400,686
397,689
392,694
386,698
383,699
383,698
384,1023
383,1023
381,1023
380,687
375,685
371,683
369,684
368,684
368,683
368,682
367,682
368,683
369,686
370,684
371,685
371,686
373,683
375,683
378,706
384,685
388,684
389,685
388,684
388,684
387,686
382,683
382,683
382,684
381,683
382,684
381,684
383,684
384,685
384,685
383,686
385,695
387,687
388,686
386,688
386,690
388,690
388,691
388,691
387,691
388,691
388,697
387,722
388,691
387,691
388,690
387,690
388,690
389,691
389,690
389,690
387,689
389,690
388,689
388,689
389,688
388,687
388,687
388,686
394,685
398,685
405,684
404,685
405,683
402,683
400,682
399,682
397,681
396,686
397,681
396,679
397,680
396,679
397,680
397,680
397,679
396,680
397,680
395,679
394,681
394,680
397,680
400,679
400,680
405,678
407,679
405,679
405,679
405,679
404,678
405,679
406,679
406,679
406,679
406,678
405,677
405,679
406,678
405,679
406,678
404,678
405,679
404,678
405,678
404,678
405,678
405,678
405,678
404,679
405,678
403,678
404,678
404,678
404,678
405,678
404,678
404,679
403,1023
402,1023
400,1023
398,1023
396,681
398,680
396,684
396,683
397,683
392,683
387,683
379,682
369,682
360,680
357,679
355,683
354,684
352,683
350,688
350,683
351,683
351,697
352,687
353,689
353,686
354,690
353,689
352,687
351,686
353,688
353,684
352,682
352,683
352,683
353,682
352,681
353,679
352,679
353,679
354,679
354,679
356,679
358,677
358,679
357,678
358,677
358,677
361,679
362,678
362,679
363,679
363,679
364,679
364,679
365,678
364,679
364,679
365,678
365,679
366,679
366,679
366,679
366,679
366,679
366,680
366,679
365,680
366,679
365,679
366,678
367,678
366,678
367,679
372,679
388,679
401,678
409,678
418,1023
415,673
419,673
424,672
389,670
377,663
381,663
388,661
396,663
394,665
409,666
411,667
410,670
419,672
426,674
425,678
395,680
373,679
351,685
348,703
345,712
344,709
343,701
342,698
342,696
343,694
344,692
343,691
348,698
351,702
351,699
353,700
352,699
351,697
349,693
347,688
345,685
345,680
346,679
347,682
350,693
352,707
358,719
358,722
357,718
357,717
356,716
358,736
356,706
357,700
356,697
355,695
351,688
351,684
352,688
362,706
378,717
389,720
386,716
387,714
383,711
372,705
363,697
357,692
357,688
356,686
357,685
356,683
358,683
359,685
366,681
367,681
367,680
367,678
365,679
364,677
366,678
370,682
370,1023
375,683
986,688
387,687
384,691
390,692
388,1021
387,1023
393,1023
397,1023
394,1023
384,674
375,665
370,660
369,658
371,656
375,656
378,657
386,659
391,662
395,664
1023,666
619,666
390,666
388,666
424,664
383,660
384,658
596,657
556,656
404,656
412,656
417,656
668,656
388,656
386,656
388,656
389,656
392,658
394,659
392,659
391,659
423,659
407,660
426,660
389,660
386,659
380,660
378,658
378,658
377,660
409,664
960,684
491,676
1023,684
581,707
498,717
511,718
526,719
534,702
543,689
545,687
550,687
552,687
552,689
553,690
555,693
555,694
556,695
558,695
558,694
557,694
555,695
554,695
552,693
551,694
552,693
552,691
552,690
551,689
551,687
550,686
547,685
548,685
547,684
546,683
545,683
545,683
544,683
544,683
542,683
543,682
543,682
540,681
541,682
542,680
539,681
540,681
540,681
538,681
539,680
539,679
538,680
538,680
539,679
538,679
538,679
536,678
537,680
537,680
537,679
536,679
536,680
536,679
537,679
536,679
536,679
535,679
535,679
534,680
535,679
