index,middle
391,674
392,674
392,675
391,673
391,675
391,675
392,675
391,675
391,675
391,675
392,675
390,675
392,675
392,674
392,675
392,675
392,675
391,675
393,674
391,675
392,674
391,674
393,675
392,675
393,675
392,674
392,675
392,675
391,675
392,674
392,674
391,675
391,674
392,674
391,673
391,675
392,675
392,675
391,673
392,675
392,674
391,674
392,674
392,675
391,674
392,675
391,675
391,675
392,675
391,675
392,675
391,675
392,674
391,674
393,675
392,675
392,675
392,675
392,675
392,675
393,676
393,675
393,675
393,675
393,675
394,675
393,675
394,675
393,676
393,676
393,675
394,676
393,675
393,675
393,676
392,675
393,676
393,676
393,675
393,676
393,675
394,676
393,676
394,676
393,676
393,676
393,676
391,676
394,676
392,676
394,675
394,675
393,676
393,676
393,676
394,676
393,676
392,676
394,676
393,676
393,676
393,676
393,676
393,677
392,677
394,676
394,676
393,676
393,676
394,677
394,676
393,677
393,676
393,676
394,674
394,677
393,677
393,676
394,676
393,677
393,676
393,676
393,676
394,676
393,676
393,676
393,676
393,676
393,676
392,676
394,676
392,676
394,675
393,676
393,676
394,676
394,676
392,676
393,676
393,676
392,677
393,677
393,677
393,677
392,676
394,677
393,677
393,676
393,676
393,677
393,676
394,677
393,677
393,676
394,676
393,676
