index,middle
531,797
532,797
531,797
531,796
531,796
531,796
530,796
529,795
529,796
529,796
528,795
529,795
527,795
528,795
529,795
527,795
524,795
524,793
523,792
519,792
514,792
505,784
498,779
493,776
492,773
490,774
490,775
492,773
491,775
492,773
491,773
492,772
493,771
492,770
492,771
489,773
490,773
490,773
490,773
490,773
489,773
488,772
489,773
486,772
485,771
485,770
485,771
486,769
484,770
484,770
482,770
485,769
483,770
482,769
481,768
479,769
480,769
481,769
481,767
479,767
479,768
478,768
480,767
478,767
480,768
481,768
478,767
477,768
478,766
474,763
472,762
472,761
468,760
463,754
459,749
443,733
420,709
405,692
400,686
399,686
395,685
380,670
365,654
348,642
338,634
329,629
322,627
318,625
318,625
318,625
318,624
317,624
318,625
319,623
320,624
321,626
321,626
322,627
343,651
386,706
420,725
449,746
459,758
459,756
469,760
465,755
438,728
387,501
362,652
328,625
307,613
301,610
302,609
303,608
305,608
305,609
306,621
306,608
306,594
307,609
306,605
308,632
308,626
308,622
310,615
309,590
308,617
308,623
308,614
307,629
306,617
306,609
306,625
307,612
306,604
306,609
306,611
307,615
307,622
305,627
306,610
306,611
306,613
307,605
307,607
306,609
307,611
307,611
306,602
306,604
307,610
308,608
308,607
313,608
314,608
312,608
304,607
304,607
303,607
307,608
311,608
310,607
304,607
306,608
309,608
310,606
311,607
314,607
318,608
314,605
312,607
317,607
327,608
343,608
347,609
345,608
343,609
351,609
354,608
344,609
326,608
322,608
320,608
320,608
320,608
319,608
319,608
318,609
320,608
319,608
319,608
320,609
320,608
320,608
320,609
320,609
322,609
323,609
322,609
322,609
323,610
321,609
323,610
322,611
323,610
323,610
324,610
323,610
324,611
325,611
322,611
322,610
323,610
323,610
323,611
323,610
323,610
323,611
323,610
323,610
323,610
324,610
322,610
324,609
322,610
323,610
323,611
323,610
323,609
323,611
323,610
323,611
323,610
323,611
323,610
323,610
323,610
323,610
322,609
323,610
323,610
322,610
324,610
323,610
324,611
325,612
343,627
363,655
390,693
435,740
487,774
500,790
506,798
512,802
518,803
537,811
548,816
558,819
558,818
564,821
572,823
569,822
569,821
568,821
568,821
565,821
566,820
564,819
563,820
563,819
563,818
560,819
561,819
560,818
561,818
563,818
563,817
568,819
567,817
565,817
566,817
563,816
564,815
561,815
562,815
562,815
561,814
559,813
559,814
559,812
558,812
556,812
557,811
557,812
557,812
557,812
555,811
556,810
558,811
553,811
556,810
552,809
554,810
554,810
553,810
554,809
552,809
552,810
553,809
550,808
551,809
550,809
549,808
549,807
548,809
547,808
549,808
547,807
549,806
548,808
547,808
547,807
546,806
547,807
547,807
547,807
545,807
546,805
546,808
545,806
544,806
547,807
546,806
545,806
546,806
544,805
545,806
