index,middle
364,808
363,807
364,808
364,808
362,808
365,807
363,807
363,805
365,807
365,807
374,805
378,796
395,781
406,761
406,730
400,692
393,666
383,648
374,635
368,627
361,624
359,622
357,620
351,620
348,620
346,619
347,619
347,620
347,619
346,620
347,619
348,617
348,620
348,620
348,620
347,621
347,620
348,620
348,621
349,620
350,620
349,621
350,621
348,619
348,621
348,621
350,620
348,621
349,622
349,621
349,621
349,621
349,621
349,622
351,622
349,623
350,622
350,622
349,622
349,622
349,622
349,622
348,623
349,622
349,623
349,623
350,623
350,623
349,623
357,628
364,665
380,725
387,765
383,784
375,795
376,800
372,802
375,805
372,809
373,812
375,814
377,818
377,821
376,821
378,822
376,819
376,820
377,820
374,819
375,818
373,817
374,817
374,816
374,816
373,816
372,814
372,815
373,814
373,813
373,813
372,814
372,812
373,812
372,813
370,812
372,812
371,812
371,813
371,811
370,810
371,811
369,811
369,810
369,811
371,810
370,811
370,810
370,809
371,810
370,811
371,809
370,810
370,810
369,809
370,808
369,809
370,807
372,809
370,808
370,807
370,809
370,808
369,807
370,809
368,808
371,808
370,809
369,807
370,807
368,808
370,807
369,808
370,807
370,807
369,808
369,808
370,807
368,807
369,807
370,807
371,807
370,806
370,807
371,807
369,807
370,806
