index,middle
548,663
549,663
546,664
548,664
547,663
548,663
549,664
546,666
537,683
504,705
464,694
424,678
400,659
372,645
351,639
339,635
329,633
326,631
324,629
323,627
324,627
325,625
326,625
326,624
329,625
329,625
329,624
328,623
330,624
330,623
332,624
333,623
332,624
332,624
332,624
333,625
333,625
335,624
335,625
336,625
334,625
335,624
336,624
336,625
335,624
336,624
336,625
335,625
335,625
336,624
336,625
336,624
337,625
337,624
336,625
337,624
338,624
338,624
338,625
337,624
338,624
339,624
340,624
340,624
339,624
339,624
339,624
340,624
341,625
340,625
339,625
341,625
341,624
341,625
341,625
342,624
340,624
340,624
341,625
356,629
421,681
486,735
526,743
538,730
553,695
554,680
556,674
560,672
561,672
560,669
558,669
556,668
554,668
552,667
552,667
553,666
551,666
552,666
550,665
549,665
548,664
548,665
549,665
548,664
548,664
547,665
547,664
547,665
546,664
546,661
547,663
545,663
546,663
543,664
544,663
544,663
544,663
544,662
544,663
541,663
544,663
540,662
541,663
542,662
542,661
541,662
542,662
542,662
540,662
539,661
540,662
540,661
541,662
540,662
539,662
538,662
539,662
538,662
538,662
538,662
539,662
540,662
539,662
538,662
539,662
537,662
537,662
538,662
538,663
539,662
537,662
537,662
538,662
537,663
537,662
534,662
537,662
