index,middle
354,644
355,643
355,644
355,644
354,642
355,644
354,644
355,645
354,644
356,643
354,644
355,644
354,644
354,644
355,644
355,644
353,644
355,644
355,644
355,644
355,644
355,644
354,644
356,644
355,644
355,644
354,644
356,644
356,645
354,644
355,644
355,644
355,644
355,644
355,644
355,644
354,644
356,645
355,645
356,645
355,644
355,644
355,644
356,644
355,642
355,644
356,644
355,645
356,644
356,644
355,644
355,644
355,643
355,644
356,645
356,644
356,644
356,645
355,644
356,644
356,645
355,643
355,644
355,644
355,644
356,644
356,644
356,644
355,644
355,645
355,644
356,644
356,644
355,645
354,645
356,643
357,644
356,644
355,643
356,643
355,644
357,644
356,644
356,644
356,644
355,643
356,644
356,645
355,645
356,644
356,644
355,645
355,644
356,645
354,644
356,645
356,645
355,645
356,645
355,645
357,645
356,645
356,644
356,645
356,644
354,645
357,644
356,645
356,645
356,645
356,644
357,645
355,644
356,644
355,645
356,644
356,645
357,645
356,645
357,645
355,645
356,644
356,644
357,645
356,644
357,645
356,645
356,645
357,645
356,645
357,645
356,645
356,644
355,645
356,645
357,645
355,645
356,645
356,645
355,645
356,645
357,644
356,645
355,644
357,645
356,645
356,644
354,644
356,644
355,645
355,645
356,645
356,645
356,644
356,644
