index,middle
548,804
548,803
546,806
551,807
547,805
543,804
546,804
551,801
549,805
547,805
548,805
545,806
545,803
546,804
540,800
523,793
509,788
495,781
491,778
484,773
476,769
458,756
431,735
382,705
359,677
354,667
350,665
345,660
339,654
341,655
339,653
335,648
336,651
335,647
335,644
335,646
330,648
336,646
331,644
329,643
330,643
329,643
334,643
329,644
335,645
329,644
333,645
335,646
333,646
335,646
335,646
335,647
337,649
337,648
335,648
336,649
340,649
339,654
341,653
343,648
341,653
343,654
339,654
342,654
342,651
342,652
343,653
339,650
341,656
342,656
346,656
344,658
347,661
343,658
347,658
344,659
342,661
346,660
344,661
345,660
338,662
343,657
343,659
342,664
339,660
346,663
347,668
362,672
386,705
434,736
466,759
479,774
495,776
508,790
520,798
530,799
539,803
547,809
553,810
560,813
563,814
560,816
568,818
566,815
567,815
568,818
569,813
573,819
576,818
573,819
573,820
576,813
578,816
578,811
574,814
574,810
571,813
574,812
571,812
569,815
566,813
568,812
573,809
570,806
571,811
569,809
569,810
570,810
568,811
569,809
565,811
566,811
568,806
570,807
563,806
567,811
561,808
566,810
564,807
562,807
562,808
560,803
566,805
566,806
561,807
564,807
564,806
558,807
560,810
562,807
564,806
562,806
561,807
562,807
561,803
558,809
