index,middle
351,810
351,809
351,809
350,809
351,809
350,808
351,809
350,809
350,808
351,809
351,808
351,808
351,808
351,808
351,808
354,803
358,796
363,784
371,770
376,754
1023,739
1023,720
1023,699
1023,678
1023,662
1023,653
1023,648
1023,646
1023,645
1023,646
1023,646
1021,645
1023,646
1021,646
530,646
398,647
431,647
1023,647
1023,648
1023,649
1023,648
1022,648
1023,648
1021,649
1023,649
1023,650
1023,649
1021,649
1023,650
1023,651
1020,650
1023,651
1023,651
1023,650
1023,651
1018,651
409,650
454,650
493,650
546,650
362,650
399,650
447,650
605,650
359,651
361,652
360,652
363,654
362,654
363,654
364,654
364,654
365,655
364,654
366,655
365,655
363,653
364,654
364,654
362,654
362,653
362,653
361,653
362,654
360,659
361,664
365,676
366,687
368,699
371,708
376,717
388,724
397,729
416,732
434,735
444,737
459,738
465,741
476,744
487,745
497,747
501,748
491,745
466,749
439,764
413,781
402,793
396,803
387,809
381,812
391,815
380,816
370,817
381,817
373,816
374,817
382,816
377,816
361,816
377,815
378,815
378,815
375,815
380,814
374,815
364,814
362,814
380,814
358,814
361,814
364,813
369,813
374,813
374,813
377,812
361,812
375,812
362,811
352,812
365,811
362,811
356,811
363,811
353,811
362,811
363,810
372,810
347,810
366,810
366,809
356,809
361,809
361,809
359,809
361,809
