index,middle
528,655
524,658
528,655
523,656
526,656
526,657
523,657
524,654
523,656
523,656
524,654
521,653
520,652
511,649
478,644
414,637
363,631
341,629
335,625
332,622
330,623
327,622
328,623
325,621
326,624
325,622
327,624
327,624
326,625
330,624
328,626
329,625
328,624
330,625
328,626
330,627
331,626
328,625
333,626
331,624
334,626
334,626
334,625
333,624
334,626
335,626
337,625
336,627
335,626
335,626
335,627
337,626
338,627
336,626
337,625
337,627
338,626
337,626
336,626
337,625
339,625
336,626
336,625
338,626
336,626
338,626
338,626
337,625
338,626
340,626
341,624
339,626
340,627
340,626
340,627
340,628
339,628
342,628
340,629
343,627
345,628
342,628
342,627
343,629
347,628
367,629
395,629
409,631
429,635
439,636
451,639
469,640
483,642
493,645
500,648
505,650
509,652
514,654
520,654
526,656
526,655
529,656
531,658
532,659
532,662
527,666
524,672
525,680
526,682
527,683
525,685
527,687
526,690
525,695
526,698
526,699
526,699
528,695
527,690
527,686
526,682
527,681
525,680
527,677
529,676
531,672
532,667
531,663
529,661
535,658
538,661
544,662
550,663
553,666
550,664
549,666
553,666
551,665
548,664
550,662
547,660
548,660
551,663
548,663
550,662
548,662
546,661
548,661
548,662
544,662
545,661
545,660
544,660
542,662
542,661
545,663
