index,middle
420,714
419,715
419,714
419,715
419,715
418,715
418,715
418,715
419,715
419,715
418,715
419,715
418,715
419,715
419,715
418,715
419,715
419,715
415,713
414,707
411,701
408,696
407,695
407,694
405,692
401,690
398,687
396,685
395,683
392,682
391,682
392,681
392,681
391,681
390,682
392,682
392,682
392,680
392,681
392,681
391,682
392,682
392,682
392,682
392,682
391,681
391,682
392,682
393,682
392,682
393,681
392,682
392,682
392,682
392,682
392,682
392,682
393,682
393,682
392,682
392,682
392,682
393,682
393,682
392,682
392,682
393,682
393,682
393,682
392,682
393,681
393,682
393,682
393,682
392,682
392,682
394,683
394,682
393,682
392,683
392,683
394,682
393,683
394,682
394,683
395,682
395,682
394,682
394,682
394,682
394,683
394,682
394,683
394,683
395,683
394,683
395,683
394,683
394,683
395,683
395,683
394,683
395,683
394,683
394,683
394,682
393,683
394,683
394,683
395,682
395,683
395,683
396,684
396,683
397,683
397,684
397,683
398,683
397,684
397,683
397,683
397,683
397,683
397,684
397,684
397,683
398,683
397,684
398,684
397,684
396,684
396,684
397,684
397,683
396,683
397,684
397,684
397,685
396,684
397,684
397,683
396,684
396,683
397,684
395,684
396,683
397,684
396,683
396,684
396,683
397,684
396,684
396,684
396,684
396,684
396,684
395,685
